,0
0,New Hampshire
1,South Carolina
2,Oklahoma
3,Maine
4,West Virginia
5,Delaware
6,New Mexico
7,Vermont
8,Oregon
9,Wisconsin
10,Wyoming
11,New York
12,Louisiana
13,Arizona
14,South Dakota
15,Connecticut
16,New Jersey
17,Nevada
18,Virginia
19,Kansas
20,Michigan
21,Maryland
22,North Carolina
23,Alaska
24,Rhode Island
25,Missouri
26,California
27,Alabama
28,Massachusetts
29,Illinois
30,Tennessee
31,Kentucky
32,Ohio
33,Georgia
34,Indiana
35,Minnesota
36,Montana
37,Hawaii
38,Texas
39,Idaho
40,Florida
41,North Dakota
42,Mississippi
43,Pennsylvania
44,Washington
45,Utah
46,Colorado
47,Arkansas
